step,loss,lr,elapsed_seconds,peak_vram_mb
1,0.685593,2e-05,2.416,615.63
5,0.810913,0.0001,4.263,619.14
10,0.598014,0.0002,6.519,619.14
15,0.459,0.00019090909090909092,8.743,619.14
20,0.280375,0.00018181818181818183,10.912,619.14
25,0.162647,0.00017272727272727275,13.069,619.14
30,0.094211,0.00016363636363636366,15.38,619.14
35,0.04681,0.00015454545454545454,17.555,619.14
40,0.029586,0.00014545454545454546,19.859,619.14
45,0.020458,0.00013636363636363637,22.116,619.14
50,0.013418,0.00012727272727272728,24.329,619.14
55,0.187085,0.0001181818181818182,26.566,619.14
60,0.007864,0.00010909090909090909,28.694,619.14
65,0.008068,0.0001,30.801,619.14
70,0.005334,9.090909090909092e-05,32.944,619.14
75,0.00536,8.181818181818183e-05,35.041,619.14
80,0.004551,7.272727272727273e-05,37.17,619.14
85,0.144115,6.363636363636364e-05,39.329,619.14
90,0.004189,5.4545454545454546e-05,41.476,619.14
95,0.003856,4.545454545454546e-05,43.64,619.14
100,0.173066,3.6363636363636364e-05,45.799,619.14
105,0.023479,2.7272727272727273e-05,47.944,619.14
110,0.003556,1.8181818181818182e-05,50.085,619.14
115,0.003184,9.090909090909091e-06,52.208,619.14
120,0.012049,0.0,54.426,619.14
